sku,status,source_url,image_source,note,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256
IRIB-NEKTAR-PERSIKOVYY-500-GLASS,exact,https://irib.su/wp-content/uploads/2020/04/persikovyj-05-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,381,1080,image/png,0f99922b819ce6c15a5685d07441b4845cce948fbef9433861f81474609d5b84,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-PERSIKOVYY-500-GLASS.webp,df885bc111342f284aa15a1285d1db681638b29de87ce3959b4afe6aef9fbac4
IRIB-NEKTAR-PERSIKOVYY-750-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/persikovyi-075-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,127,366,image/png,ec7f0a042a85d82f5c22c427f1d5e2d2a8d0785518f238c74dece66b3ffa126f,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-PERSIKOVYY-750-GLASS.webp,ec45526e99fe4ea92e4396f84dac10dfe47ec01635721a0b2b08e5674faca284
IRIB-NEKTAR-VISHNEVYY-330-GLASS,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-NEKTAR-VISHNEVYY-500-GLASS,exact,https://irib.su/wp-content/uploads/2020/04/vishnevyj-05-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,383,1080,image/png,b5fe33e8fc62dd5d3e04f375eea7e56cf7b36e5d592a1508b0de93347fb1878a,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-VISHNEVYY-500-GLASS.webp,d44df54742b3cfe1490a7f4beca4c251ef55918eca201a20e0b70f41c5344abb
IRIB-NEKTAR-VISHNEVYY-750-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/vishnevyi-075-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,127,366,image/png,2b649b1e097f0485fc4d9dfe117b383ec0aef63aaff4b3b97dc1736dd7fe2fe3,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-VISHNEVYY-750-GLASS.webp,0f1ac325cc6d53069625400aaa8e8255fde156d07f0749f42c389082aaed5d0e
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-3000-PET,exact,https://irib.su/wp-content/uploads/2021/04/yabl-abrik-nektar3l-1080.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,654,1080,image/png,2fecc4f61ea30a4edf3c20265687158623c66d994b13bacd416ceb72fc60f0d3,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-3000-PET.webp,c15d48ca3484da97d9a66a9dcd5e5b78476a0ab07cf94cf29bf8c7abacf23d34
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-500-GLASS,exact,https://irib.su/wp-content/uploads/2020/04/yablochnyj-abrikosovyj-05-PhotoRoom-1-b.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,400,1141,image/png,da04fd99d80ad332104981bd62c586db02f38e8c7c6520d2e8f21485cc2fee61,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-500-GLASS.webp,edc2663bf37ca0a289c5ab01a542b65e28c55d7b40edbb40da0cf1e164294ab4
IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-750-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/yablochno-abrikosovyi-075-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,126,366,image/png,5bd889a3afe2891346bc4c68c01af34e869429c24bd1717f5a7649a3090dc179,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNO-ABRIKOSOVYY-750-GLASS.webp,6808495078ebe2c2c7059381f6bb0c741160eba9c349666482cea2891da5d28d
IRIB-NEKTAR-YABLOCHNYY-3000-PET,exact,https://irib.su/wp-content/uploads/2021/04/yabl-nektar3l-1080.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,654,1080,image/png,6cc50ced84fb9893d73a1df554fd5a1aa28e081c402a3cc2a0ab118eccf344be,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNYY-3000-PET.webp,fabffda5d627516b3547fa42a5b7ab336f16db452815d3c243bac43dd61c1925
IRIB-NEKTAR-YABLOCHNYY-500-GLASS,exact,https://irib.su/wp-content/uploads/2021/04/yablochnyj-nektar-05-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,382,1080,image/png,b513cc4fc7c8c4c810f800d8d76693cb947c3ffc3dd04ddb29b98c06bbc7192a,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNYY-500-GLASS.webp,47828dc48df94349a1900af03e01060630b72ff0433442680e90c76acb7f9bd9
